INDEX NAME1 R1 G1 M1 A1 C1 NAME2 R2 G2 M2 A2 C2
94 J121754.98+583935.7 1.200000e+01 6.270742e-01 4.620374e-03 8.637216e-02 5.832332e-01 J111835.82+002511.2 1.000000e+01 5.868882e-01 4.749898e-03 1.452167e-01 5.402776e-01
95 J080740.99+390015.3 1.100000e+01 6.281364e-01 2.174993e-03 1.757629e-01 5.939806e-01 J134640.80+522836.6 1.200000e+01 5.995081e-01 5.722425e-03 1.186088e-01 6.286889e-01
96 J080740.99+390015.3 1.100000e+01 6.281364e-01 2.174993e-03 1.757629e-01 5.939806e-01 J005329.92-084604.0 1.400000e+01 5.731112e-01 6.067432e-03 5.782396e-01 5.713679e-01
97 J080740.99+390015.3 1.100000e+01 6.281364e-01 2.174993e-03 1.757629e-01 5.939806e-01 J085828.60+000124.5 1.200000e+01 5.633441e-01 5.736258e-03 4.635207e-01 5.293088e-01
98 J080740.99+390015.3 1.100000e+01 6.281364e-01 2.174993e-03 1.757629e-01 5.939806e-01 J005940.11+151951.5 1.500000e+01 5.852088e-01 2.630991e-03 3.668541e-01 5.978095e-01
99 J080740.99+390015.3 1.100000e+01 6.281364e-01 2.174993e-03 1.757629e-01 5.939806e-01 J034545.16-071526.9 1.200000e+01 5.983513e-01 3.863854e-03 1.457907e-01 5.899742e-01
100 J122324.14+024044.4 1.200000e+01 5.641296e-01 5.461638e-03 1.830645e-01 5.081850e-01 J123804.16+482042.3 1.100000e+01 5.584259e-01 8.838203e-03 1.992129e-01 5.814150e-01
101 J122324.14+024044.4 1.200000e+01 5.641296e-01 5.461638e-03 1.830645e-01 5.081850e-01 J093917.26+363343.9 1.400000e+01 6.278213e-01 1.625273e-03 4.008794e-01 6.030254e-01
102 J122324.14+024044.4 1.200000e+01 5.641296e-01 5.461638e-03 1.830645e-01 5.081850e-01 J113446.25+025515.7 1.000000e+01 5.956978e-01 3.462480e-03 3.812412e-01 5.096357e-01
103 J122324.14+024044.4 1.200000e+01 5.641296e-01 5.461638e-03 1.830645e-01 5.081850e-01 J135857.98+614050.6 1.000000e+01 5.819885e-01 7.893638e-03 1.175009e-01 6.285721e-01
104 J122324.14+024044.4 1.200000e+01 5.641296e-01 5.461638e-03 1.830645e-01 5.081850e-01 J143143.18-021248.8 7.000000e+00 4.976882e-01 9.159671e-03 4.821028e-01 5.069842e-01
105 J130620.97+531823.2 1.000000e+01 5.354746e-01 6.710501e-03 8.960996e-02 4.947401e-01 J131835.67+140248.5 1.000000e+01 5.676078e-01 9.899736e-03 1.381776e-01 4.546658e-01
106 J130620.97+531823.2 1.000000e+01 5.354746e-01 6.710501e-03 8.960996e-02 4.947401e-01 J133023.78+022058.6 7.000000e+00 5.528836e-01 9.768431e-03 1.660582e-01 4.638635e-01
107 J130620.97+531823.2 1.000000e+01 5.354746e-01 6.710501e-03 8.960996e-02 4.947401e-01 J170622.22+212422.2 1.100000e+01 5.969963e-01 4.900422e-03 2.220711e-01 5.506488e-01
108 J130620.97+531823.2 1.000000e+01 5.354746e-01 6.710501e-03 8.960996e-02 4.947401e-01 J143445.75+005319.1 1.500000e+01 5.530485e-01 2.492241e-03 1.597956e-01 4.930481e-01
109 J130620.97+531823.2 1.000000e+01 5.354746e-01 6.710501e-03 8.960996e-02 4.947401e-01 J110442.28+405732.1 1.100000e+01 6.088480e-01 4.005716e-03 4.130994e-01 5.799247e-01
110 J134632.13+642325.2 8.000000e+00 5.149059e-01 1.574197e-02 2.051217e-01 4.454223e-01 J104833.59+475914.7 7.000000e+00 5.663119e-01 4.774220e-03 2.064782e-01 4.623298e-01
111 J134632.13+642325.2 8.000000e+00 5.149059e-01 1.574197e-02 2.051217e-01 4.454223e-01 J082403.67+515415.7 9.000000e+00 6.005644e-01 7.152202e-03 2.587522e-01 5.382623e-01
112 J134632.13+642325.2 8.000000e+00 5.149059e-01 1.574197e-02 2.051217e-01 4.454223e-01 J082443.29+295923.6 8.000000e+00 5.874584e-01 5.769707e-03 3.154121e-01 6.089872e-01
113 J134632.13+642325.2 8.000000e+00 5.149059e-01 1.574197e-02 2.051217e-01 4.454223e-01 J023310.79-074813.4 9.000000e+00 5.618369e-01 8.119877e-03 1.913593e-01 5.647209e-01
114 J134632.13+642325.2 8.000000e+00 5.149059e-01 1.574197e-02 2.051217e-01 4.454223e-01 J111835.82+002511.2 1.000000e+01 5.868882e-01 4.749898e-03 1.452167e-01 5.402776e-01
115 J115341.78+461242.3 1.300000e+01 5.621558e-01 1.854648e-03 2.379199e-01 4.910220e-01 J093917.26+363343.9 1.400000e+01 6.278213e-01 1.625273e-03 4.008794e-01 6.030254e-01
116 J115341.78+461242.3 1.300000e+01 5.621558e-01 1.854648e-03 2.379199e-01 4.910220e-01 J113446.25+025515.7 1.000000e+01 5.956978e-01 3.462480e-03 3.812412e-01 5.096357e-01
117 J115341.78+461242.3 1.300000e+01 5.621558e-01 1.854648e-03 2.379199e-01 4.910220e-01 J111038.86+034519.6 8.000000e+00 6.035871e-01 5.285262e-03 2.699070e-01 5.962036e-01
118 J115341.78+461242.3 1.300000e+01 5.621558e-01 1.854648e-03 2.379199e-01 4.910220e-01 J135857.98+614050.6 1.000000e+01 5.819885e-01 7.893638e-03 1.175009e-01 6.285721e-01
119 J115341.78+461242.3 1.300000e+01 5.621558e-01 1.854648e-03 2.379199e-01 4.910220e-01 J082854.33+343906.0 1.700000e+01 5.399966e-01 6.840153e-03 7.642390e-01 5.660335e-01
120 J140040.57-015518.3 9.000000e+00 5.530950e-01 1.032754e-02 1.392608e-01 4.417886e-01 J082443.29+295923.6 8.000000e+00 5.874584e-01 5.769707e-03 3.154121e-01 6.089872e-01
121 J140040.57-015518.3 9.000000e+00 5.530950e-01 1.032754e-02 1.392608e-01 4.417886e-01 J104833.59+475914.7 7.000000e+00 5.663119e-01 4.774220e-03 2.064782e-01 4.623298e-01
122 J140040.57-015518.3 9.000000e+00 5.530950e-01 1.032754e-02 1.392608e-01 4.417886e-01 J082403.67+515415.7 9.000000e+00 6.005644e-01 7.152202e-03 2.587522e-01 5.382623e-01
123 J140040.57-015518.3 9.000000e+00 5.530950e-01 1.032754e-02 1.392608e-01 4.417886e-01 J101658.93+132357.5 7.000000e+00 5.601262e-01 6.375453e-03 2.878435e-01 5.056814e-01
124 J140040.57-015518.3 9.000000e+00 5.530950e-01 1.032754e-02 1.392608e-01 4.417886e-01 J111835.82+002511.2 1.000000e+01 5.868882e-01 4.749898e-03 1.452167e-01 5.402776e-01
125 J092438.89+560747.0 9.000000e+00 5.286170e-01 7.454450e-03 5.353219e-01 4.869366e-01 J141026.83-004956.6 1.200000e+01 6.006937e-01 5.327724e-03 2.064935e-01 6.679690e-01
126 J092438.89+560747.0 9.000000e+00 5.286170e-01 7.454450e-03 5.353219e-01 4.869366e-01 J211224.69+112431.4 1.600000e+01 4.385638e-01 2.125859e-02 4.662834e-01 3.499172e-01
127 J092438.89+560747.0 9.000000e+00 5.286170e-01 7.454450e-03 5.353219e-01 4.869366e-01 J082825.87+250052.7 1.200000e+01 5.212846e-01 6.867165e-03 2.929806e-01 5.561386e-01
128 J092438.89+560747.0 9.000000e+00 5.286170e-01 7.454450e-03 5.353219e-01 4.869366e-01 J110158.99+451340.9 1.400000e+01 4.963352e-01 3.791986e-03 5.143628e-01 4.824043e-01
129 J092438.89+560747.0 9.000000e+00 5.286170e-01 7.454450e-03 5.353219e-01 4.869366e-01 J230442.82-093345.3 1.400000e+01 5.466505e-01 4.433572e-03 3.753446e-01 6.091093e-01
130 J164721.48+444209.8 7.000000e+00 5.385771e-01 6.699531e-03 1.556799e-01 4.335499e-01 J103443.72+110310.7 9.000000e+00 5.145127e-01 7.737030e-03 5.451720e-01 5.478211e-01
131 J164721.48+444209.8 7.000000e+00 5.385771e-01 6.699531e-03 1.556799e-01 4.335499e-01 J114930.79+424541.1 1.000000e+01 5.617202e-01 9.427762e-03 1.746287e-01 4.447043e-01
